id,name,symbol,quote.GBP.price,quote.GBP.volume_24h,quote.GBP.volume_change_24h,quote.GBP.percent_change_1h,quote.GBP.percent_change_24h,quote.GBP.percent_change_7d,quote.GBP.percent_change_30d,quote.GBP.percent_change_60d,quote.GBP.percent_change_90d,timestamp
1,Bitcoin,BTC,21416.35347,7381792062,-18.5017,-0.03285293,0.61899485,2.41999801,-4.85924368,-11.24564209,-0.29669294,32:29.1
1027,Ethereum,ETH,1320.098363,3031930605,-6.1445,-0.08305873,0.87829376,-0.03121879,-5.91768062,-13.7848999,-6.1075516,32:29.1
825,Tether USDt,USDT,0.807970443,13926037612,-5.8132,0.02818414,0.06361382,0.09610702,0.20101412,0.08580335,0.08829471,32:29.1
1839,BNB,BNB,172.9500119,492462356.3,71.7412,0.13164838,0.94922697,-0.47753909,-4.5916245,-10.83824171,-13.37336402,32:29.1
52,XRP,XRP,0.403185725,498095592.4,-32.3643,-0.12320426,1.08991666,-0.92412403,-12.9672678,-33.86950513,1.33418076,32:29.1
3408,USD Coin,USDC,0.807899438,1751739364,-18.4241,0.02322364,0.04743902,0.04808339,0.06939928,0.07870533,0.05116568,32:29.1
74,Dogecoin,DOGE,0.050229697,133355188.2,8.0883,0.01959162,0.48595181,-2.15892235,-4.7814885,-9.14953081,-1.17228694,32:29.1
2010,Cardano,ADA,0.201710473,90229484.36,-0.7909,-0.15301251,0.80816768,-1.83513234,-7.12846493,-18.02893947,-6.9425655,32:29.1
5426,Solana,SOL,15.31340999,154726386.4,3.1364,-0.20108665,0.66952454,-2.93770074,-17.05653037,-25.45976592,20.23719164,32:29.1
11419,Toncoin,TON,1.787314722,68303023.56,125.122,0.15156038,11.90156925,23.56896629,59.4579823,59.76912183,56.32607316,32:29.1
1958,TRON,TRX,0.067560921,125675395,-19.4014,-0.09534004,-0.13051719,5.86987476,12.39980614,4.94110375,18.46059675,32:29.1
4943,Dai,DAI,0.807562861,66201331.01,4.5275,0.05124143,0.00314732,0.0109441,0.27467965,0.08222037,-0.00109173,32:29.1
6636,Polkadot,DOT,3.352337926,71014706.2,-7.1908,-0.1479064,0.62229437,-2.49818471,-11.11458779,-20.0255495,-9.62688603,32:29.1
3890,Polygon,MATIC,0.425497297,160128918.2,4.7984,0.02954905,1.33065605,-2.6607004,-11.99716918,-29.34083776,-14.48700312,32:29.1
2,Litecoin,LTC,52.16236197,212501480.3,8.1007,-0.07961775,0.73328081,2.45261925,-11.95987935,-29.24037662,-17.1616671,32:29.1
1,Bitcoin,BTC,21425.0034,7364595082,-18.5239,-0.01815607,0.74962078,2.4651891,-5.23677345,-11.24724416,-0.17998866,41:37.7
1027,Ethereum,ETH,1320.836219,3025658135,-6.2127,-0.0515321,1.01127662,0.00992957,-6.21486845,-13.77243532,-6.01338769,41:37.7
825,Tether USDt,USDT,0.807638718,13888601755,-5.9923,0.00840678,0.00806781,0.02638308,0.15453045,0.04233881,0.03638803,41:37.7
